,name,lobby_image_right,lobby_image_left,small_img,ban_img,voice
Neeko,니코,http://39.118.174.168:8000/champ_image/right/니코.png,http://39.118.174.168:8000/champ_image/left/니코.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Neeko.png,http://39.118.174.168:8000/champ_image/long_image_noColor/니코.jpg,Neeko.mp3
Darius,다리우스,http://39.118.174.168:8000/champ_image/right/다리우스.png,http://39.118.174.168:8000/champ_image/left/다리우스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Darius.png,http://39.118.174.168:8000/champ_image/long_image_noColor/다리우스.jpg,Darius.mp3
Diana,다이애나,http://39.118.174.168:8000/champ_image/right/다이애나.png,http://39.118.174.168:8000/champ_image/left/다이애나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Diana.png,http://39.118.174.168:8000/champ_image/long_image_noColor/다이애나.jpg,Diana.mp3
Draven,드레이븐,http://39.118.174.168:8000/champ_image/right/드레이븐.png,http://39.118.174.168:8000/champ_image/left/드레이븐.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Draven.png,http://39.118.174.168:8000/champ_image/long_image_noColor/드레이븐.jpg,Draven.mp3
Ryze,라이즈,http://39.118.174.168:8000/champ_image/right/라이즈.png,http://39.118.174.168:8000/champ_image/left/라이즈.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ryze.png,http://39.118.174.168:8000/champ_image/long_image_noColor/라이즈.jpg,Ryze.mp3
Rakan,라칸,http://39.118.174.168:8000/champ_image/right/라칸.png,http://39.118.174.168:8000/champ_image/left/라칸.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Rakan.png,http://39.118.174.168:8000/champ_image/long_image_noColor/라칸.jpg,Rakan.mp3
Rammus,람머스,http://39.118.174.168:8000/champ_image/right/람머스.png,http://39.118.174.168:8000/champ_image/left/람머스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Rammus.png,http://39.118.174.168:8000/champ_image/long_image_noColor/람머스.jpg,Rammus.mp3
Lux,럭스,http://39.118.174.168:8000/champ_image/right/럭스.png,http://39.118.174.168:8000/champ_image/left/럭스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Lux.png,http://39.118.174.168:8000/champ_image/long_image_noColor/럭스.jpg,Lux.mp3
Rumble,럼블,http://39.118.174.168:8000/champ_image/right/럼블.png,http://39.118.174.168:8000/champ_image/left/럼블.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Rumble.png,http://39.118.174.168:8000/champ_image/long_image_noColor/럼블.jpg,Rumble.mp3
Renekton,레넥톤,http://39.118.174.168:8000/champ_image/right/레넥톤.png,http://39.118.174.168:8000/champ_image/left/레넥톤.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Renekton.png,http://39.118.174.168:8000/champ_image/long_image_noColor/레넥톤.jpg,Renekton.mp3
Leona,레오나,http://39.118.174.168:8000/champ_image/right/레오나.png,http://39.118.174.168:8000/champ_image/left/레오나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Leona.png,http://39.118.174.168:8000/champ_image/long_image_noColor/레오나.jpg,Leona.mp3
RekSai,렉사이,http://39.118.174.168:8000/champ_image/right/렉사이.png,http://39.118.174.168:8000/champ_image/left/렉사이.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/RekSai.png,http://39.118.174.168:8000/champ_image/long_image_noColor/렉사이.jpg,RekSai.mp3
